Name,Job Role,Skills,Education
30127072.pdf,BANKING,"Reports, Documentation, Spreadsheets, Transactions, Regulations, Relationship management, Financial reporting, Compliance, Policies, Requests, Operations, Reporting, Protocols, Correspondence, Financial statements, Banking, Workflows, Filing, Accounting, Administration, Workflow, Database, Vendors, Word, Regulatory, Schedules, Human resources, Analysis, Legal, System, Payments, Customer service, Security","Bachelor of Science : Business and Church Management Nyack College ï¼​ City , State Business and Church Management"
31710562.pdf,BANKING,"Reports, Process, Transactions, Reconciliation, Quickbooks, Excel, Expenses, Policies, Schedule, Budgeting, Operations, Variances, Reporting, Analyze, Financial statements, Bank reconciliation, Mortgage, Bottle, Tax, General ledger, Accounting, International, Finance, Administration, Invoices, Database, Vendors, Staffing, Acquisition, Payroll, Budget, Forecasts, German, Mobile, Analysis, Peoplesoft, System, Payments, Audit, Security","MBA : Business Administration City , State"
33370664.pdf,BANKING,"Health, Process, Plan, Transactions, Deposits, Communication, Psychology, Sales, Healthcare, Mortgage, Banking, Retail, Analytical, Client services, Money, Outreach, Public relations, Training, Merchant, System, Security",Bachelors of Arts : Psychology
33872500.pdf,BANKING,"Admissions, Reports, Documentation, Health, Process, Transactions, Plan, Regulations, Information technology, Content, Compliance, Policies, Controls, Security, Affiliate, Writing, Operations, Financial management, Testing, Data analysis, Underwriting, Internal controls, Regulatory compliance, Risk assessment, Accounting, Technical, English, Financial performance, Regulatory, Safety, Money, Budget, Analysis, Training, Gaap, Legal, Modeling, Forecasting, Reconciliation, Audit, Recruitment, Spanish","Bachelor of Science , Business Information Systems, Master of Science , Accounting and Financial Management December"
35564026.pdf,BANKING,"Reports, Process, Spreadsheets, Transactions, Counsel, Updates, Excel, Reconcile, Compliance, Policies, Schedule, Requests, Operations, Sales, Analyze, Process improvements, Banking, Retail, Accounting, Analytical, Microsoft office, Coaching, Improvement, Research, Training, System, Audit, Security","Bachelors of Science Degree, Minor in Criminalistics and Accounting"
39247950.pdf,BANKING,"Reports, Engineering, Cloud, Visual, C, Programming, Sql, Communication, Requests, Reporting, Operating systems, Sales, C#, Electronics, Oracle, Testing, Javascript, Data analysis, Banking, Html, Technical, Windows, Presentation, Css, Database, Vendors, Asp, Analysis, Servers, Itil, Pl/sql, .net, Training, Unix, System, Sql server",Degree Bachelor of Engineering College Easwari Engineering College Discipline Â​ Electronics/Communication Year
72876163.pdf,BANKING,"Marketing, Process, Engineering, Acquisitions, Business strategy, Information technology, C, Compliance, Policies, Communication, Vendor management, Psychology, Requests, Budgeting, Operating systems, Sales, Recruiting, Technical issues, Metrics, Help desk, Licensing, Finance, International, English, Technical, Windows, Troubleshooting, Administration, Presentation, Installation, Improvement, Os, Hardware, Kpi, Budget, Networking, Analysis, Servers, Training, Billing, Legal, Strategy, Litigation, Active directory, System, Migration, Security","Bachelor of Arts : Psychology, Sociology Chinese Studies Emory University, Master of Science : Information Management"
13964744.pdf,BPO,"Business management, Reports, Documentation, Process, Information technology, Java, Updates, Pmp, Excel, Sql, Policies, Communication, Writing, Operations, Reporting, Specifications, Sales, Analyze, Metrics, Visio, Bottle, Jira, Accounting, Finance, Technical, Administration, Workflow, Windows, Troubleshooting, Coaching, Microsoft office, Word, Staffing, Hardware, Certification, Kpi, Analysis, Training, Computer applications, Strategy, Queries, System, Project management, Customer service, Powerpoint","Bachelor of Commerce : accounting and business management, MBA in Business Management, Master of Science : Information Technology, Diploma in Computer Applications NICET Institute"
16492045.pdf,BPO,"Sap, Reports, Documentation, Health, Process, Updates, Excel, Travel arrangements, Vendor management, Schedule, Operations, Sales, Recruiting, Microsoft office suite, Filing, Microsoft powerpoint, Warehouse, International, Administration, Auditing, Workflow, Scheduling, Invoices, Microsoft word, Vendors, Word, Email, Time management, Payroll, Budget, Data entry, Research, Billing, Lan, Travel, System, Payments, Customer service, Powerpoint",B.A.
89512321.pdf,BPO,"Documentation, Process, Plan, Analytics, Green, Compliance, Policies, Communication, Reporting, Sales, Recruiting, Oracle, Retention, Mortgage, Engagement, Strategic initiatives, Sourcing, Branding, International, Windows, Vendors, Os, Improvement, Human resources, Acquisition, Outsourcing, Budget, Training, Queries, Investigation, Design, Employee relations, Audit, Recruitment, Change management",Post Graduate Degree
10235211.pdf,BUSINESS-DEVELOPMENT,"Prospecting, Audio, Real estate, Reports, Acquisitions, Drafting, Updates, Communication, Psychology, Requests, Financing, Sales, Business development, Negotiation, Spark, Analytical, Administration, Contracts, Database, Transportation, Grab, Money",Degree in golf Instruction 2009
11289482.pdf,BUSINESS-DEVELOPMENT,"Reports, Documentation, Regulations, Analytics, Relationship management, Compliance, Policies, Website, Communication, Vendor management, Operations, Sales, Business development, Quality control, Testing, Mortgage, Underwriting, Phone calls, Partnership, Administration, Coaching, Fulfillment, Contracts, Call center, Vendors, Responses, Operations management, Budget, Human resource, Alliances, Training, Legal, Strategy, Supervisor, Project management, Quality standards, Customer service, Audit, Scripting",BACHELOR OF ARTS
12546838.pdf,BUSINESS-DEVELOPMENT,"Sap, Editing, Reports, Engineering, Marketing, Product launch, Acquisitions, Quickbooks, Product development, Prototype, Fabrication, Presentations, Aviation, Excel, Programming, Communication, Trade shows, Distribution, Operating systems, Sales, Lifecycle, Oracle, Advertising, Python, Partnership, Mis, Corel draw, Linux, Access, International, Positioning, Technical, Windows, Administration, Adobe, Word, Vendors, Microsoft word, Brand, Os, Time management, Budget, Forecasts, Networking, Erp, Servers, Analysis, Research, Intranet, Training, Market research, Strategy, System, Project management, Photoshop, Customer service, Powerpoint","Bachelor of Business Administration, Master of Business Administration"
13574264.pdf,BUSINESS-DEVELOPMENT,"Crm, Marketing, Process, Radar, Expenses, Website, Financing, Operations, Sales, Business development, Advertising, Inventory, Seo, Spark, Finance, Positioning, Administration, Acquisition, Budget, Revenue growth, Product management, Training, Strategy, Operational excellence, Design, Customer service",Bachelor of Arts Degree : Business Administration and Management EDINBORO UNIVERSITY OF PENNSYLVANIA Business
14825300.pdf,BUSINESS-DEVELOPMENT,"Marketing, Engineering, Plan, Presentations, C, French, Governance, Electrical engineering, Operations, Sales, Contract management, Retention, Consulting, Metrics, Engagement, Accounting, International, Technical, Administration, Finance, Coaching, Electrical, Acquisition, Certification, Analysis, Training, Strategy, Travel, Project management","Master's Certificate : Project Management, Bachelor of Arts : French University of California - City , State , USA GPA: 3-time Dean's List"
14861855.pdf,BUSINESS-DEVELOPMENT,"Reports, Marketing, Process, Documentation, Compliance, Policies, Communication, Requests, Distribution, Operations, Sales, Business development, Public policy, Financial management, Negotiation, Regulatory compliance, International, Administration, Continuous improvement, Regulatory, Improvement, Email, Acquisition, Risk management, Budget, Analysis, Training, Hotel, Customer service, Audit, Researching, Security","Master of Arts, Bachelor of Arts, Master of Arts 2013 Oxford University"
15233524.pdf,BUSINESS-DEVELOPMENT,"Real estate, Marketing, Health, Fundraising, Regulations, Assembly, Presentations, Marketing materials, Excel, Sales, Healthcare, Retention, Banking, Access, International, Database, Word, Transportation, Regulatory, Microsoft word, Staffing, Safety, Outreach, Networking, Human resource, Analysis, Research, Training, Strategy, Design",B.A
17602815.pdf,BUSINESS-DEVELOPMENT,"Construction, Process, Updates, Expenses, Policies, Communication, Reporting, Specifications, Sales, Business development, Analyze, Microsoft office suite, Inventory, Orange, Accounting, Administration, Windows, Scheduling, Contracts, Vendors, Brand, Relationship building, Safety, Client relationships, Training, Gaap, Customer service",B.A
19557384.pdf,BUSINESS-DEVELOPMENT,"Teaching, Marketing, Presentations, Project planning, C, Partnerships, Programming, Expenses, Policies, Sales, Recruiting, Business development, Supply chain, Filing, Logistics, Tax, Sourcing, Html, International, Analytical, Technical, Finance, Quality assurance, Contracts, Adobe, C++, Chemistry, Research, Training, Legal, Strategy, Forecasting, Photoshop, Researching","Masters of Science, Bachelor of Technology , Dyes and Intermediates"
26278597.pdf,BUSINESS-DEVELOPMENT,"Marketing, Health, Ordering, Plan, Information technology, Visual, Communication, Distribution, Operations, Sales, Recruiting, Profiling, Merchandising, Data analysis, Supervising, Negotiation, Inventory, Product knowledge, Retail, Analytical, Presentation, Brand, Improvement, Staffing, Safety, Analysis, Erp, Research, Training, Legal, Strategy, Forecasting, Customer service, Powerpoint, Security","Bachelor's Degree in Science, from K.G.R.L Degree College, Degree College, Post-Graduation MCA"
27850777.pdf,BUSINESS-DEVELOPMENT,"Proposal, Prospecting, Reports, Crm, Marketing, Process, Cisco, Rfp, Sales management, Presentations, Content, Partnerships, Psychology, Sales, Recruiting, Retention, Advertising, Negotiation, Analytical, Technical, Presentation, Contracts, Brand, Responses, Staffing, Acquisition, Kpi, Networking, Mobile, Research, Training, Logistics, Conversion, Rfps, Spanish","Bachelors of Arts : Sociology University of California, Minor in Education"
29208172.pdf,BUSINESS-DEVELOPMENT,"Proposal, Sap, Crm, Marketing, Process, Supply chain management, Plan, Information technology, It infrastructure, C, Strategic plans, Policies, Communication, Affiliate, Requests, Budgeting, Writing, Operations, Reporting, Sales, Business development, Business systems, Analyze, Testing, Oracle, Consulting, Underwriting, Retention, Partnership, Accounting, Finance, Administration, Architecture, Database, Relationship building, Improvement, Staffing, Certification, Risk management, Account management, Information system, Analysis, Editorial, Client relationships, Big data, Business intelligence, Training, Modeling, Forecasting, System, Rfps, Recruitment, Security","Master of Science : Information Systems, Bachelor of Science, Master of Science : Criminal Justice"
31273310.pdf,BUSINESS-DEVELOPMENT,"Crm, Marketing, Process, Content, Communication, Psychology, Writing, Financing, Operations, Reporting, Sales, Business development, Analyze, Mortgage, Inventory, Retail, Html, Analytical, Coding, Contracts, Vendors, Budget, Analysis, Research, Design, Flex, Customer service, Security","Master of Science Degree : Psychology May, Bachelor of Science"
31638814.pdf,BUSINESS-DEVELOPMENT,"Forecasts, Reports, International, Marketing, English, Scheduling, Sales, Research, Plan, Administration, Sales experience, Contracts, Retention, Spanish, Customer service, Negotiation, Mining, Outreach",Bachelor of Business Administration
33424600.pdf,BUSINESS-DEVELOPMENT,"Reports, Documentation, Transactions, Regulations, Compliance, Policies, Psychology, Operations, Sales, Sharepoint, Mortgage, Engagement, Banking, Product knowledge, Hris, Accounting, Money, Training, Supervisor, Recruitment, Security","Bachelors of Science , Psychology"
34797369.pdf,BUSINESS-DEVELOPMENT,"Marketing, Presentations, Content, Excel, Web services, Sales goals, Communication, Reporting, Startup, Sales, Facebook, Analyze, Ibm, Advertising, Consulting, Partnership, Retail, Coaching, Contracts, Word, Vendors, Transportation, Improvement, Social media, Outreach, Budget, Analysis, Research, Training, Hotel, Forecasting, System, Twitter, Powerpoint, Digital marketing","Bachelor of Science , Hotel Management 1992 University of Maryland ï¼​ City , State , US
Skills
SALES,"
76916835.pdf,BUSINESS-DEVELOPMENT,"Prospecting, Marketing, Technical, Engineering, Sales, Plan, Product development, Business development, Contracts, Testing, Presentations, Customer service, Business planning, Time management, Communication","Bachelor of Science , Communication Disorders University of Houston, Houston Texas Communication Disorders"
79759716.pdf,BUSINESS-DEVELOPMENT,"Sports, Marketing, Process, Fundraising, Analytics, Economics, Content, Partnerships, Excel, Procurement, Sales, Business development, Facebook, Analyze, Advertising, Metrics, Partnership, Negotiation, Access, Fulfillment, Microsoft word, Word, Brand, Email, Acquisition, Social media, Kpi, Video, Analysis, Training, Strategy, Design, Twitter, Pr, Powerpoint",Degree Sports Marketing & Management
80275976.pdf,BUSINESS-DEVELOPMENT,"Business management, Marketing, Engineering, Process, Plan, Mathematics, Economics, Presentations, C, Green, Compliance, Communication, Controls, Distribution, Sales, Specifications, Business development, Supply chain, Testing, Sourcing, International, Technical, Finance, Standard operating procedures, Presentation, Brand, Six sigma, Staffing, Instrumentation, Alliances, Automation, Training, Design, Audit","Bachelor of Science , Economics Marketing 05.05.88 Clemson University ï¼​ City , State, Economics-Marketing. Concentration in Labor Economics, Finance, Mathematics, Business Management"
95382114.pdf,BUSINESS-DEVELOPMENT,"Proposal, Prospecting, Crm, Marketing, Health, Acquisitions, Plan, Drafting, Due diligence, Content, Updates, Partnerships, Financial reporting, Strategic plans, Operations, Reporting, Sales, Data analysis, Partnership, Negotiation, Lighting, International, Analytical, Analytical skills, Account management, Budget, Networking, Analysis, Research, Strategy, Modeling, Project management, Financial models, Security",Bachelor of Science : Management
10001727.pdf,CHEF,"Reports, Marketing, Process, Health, Transactions, Inventory management, Regulations, Beverage, Programming, Green, Cpr, Compliance, Policies, Communication, Sales goals, Operations, Sales, Supervising, Inventory, Hospitality, Access, Accounting, Analytical, Auditing, Administration, Scheduling, Contracts, Staffing, Safety, Data entry, Training, Hotel, Supervisor, System, Customer service, Audit, Security",Bachelors of Arts
11444536.pdf,CHEF,"Construction, Marketing, Process, Ordering, Plan, Regulations, Beverage, Excel, Requests, Budgeting, Purchase orders, Distribution, Operations, Procurement, Sales, Analyze, Inventory, Accounting, Scheduling, Database, Safety, Payroll, Budget, Research, Training, Forecasting, Purchasing, System, Project management",Bachelor of Arts
12155206.pdf,CHEF,"Proposal, Math, Business management, Marketing, Plan, Content, Excel, Schedule, Sales, Recruiting, Microsoft office suite, Engagement, Hospitality, Accounting, English, Contracts, Word, Time management, Billing, Pharmacy, Reconciliation, Customer service, Audit, Powerpoint","BACHELOR OF SCIENCE : BUSINESS MANAGEMENT, INTEL MATH I &, MASTERS OF EDUCATION IN : ELEMENTARY EDUCATION"
20033302.pdf,CHEF,"Business management, Reports, Marketing, Health, Inventory management, Spreadsheets, Quickbooks, Product development, Analytics, Salesforce, Cloud, French, Excel, Expenses, Policies, Sales goals, Operations, Pivot tables, Sales, Pivot, Correspondence, Retention, Metrics, Inventory, Tax, Seo, Customer experience, Sourcing, Access, Accounting, Analytical, English, Contracts, Microsoft word, Vendors, Word, Staffing, Acquisition, Safety, Payroll, Outsourcing, Servers, Training, System, Audit, Powerpoint, Security",Bachelor of Science : Business Management
23807940.pdf,CHEF,"Health, Process, Beverage, Visual, French, Excel, Expenses, Operations, Inventory, Hospitality, International, Administration, English, Windows, Word, Brand, Improvement, Safety, Budget, German, Training, Hotel, Forecasting, Purchasing, Quality standards, Employee relations, Conversion, Recruitment, Spanish",Bachelors Degree : Culinary Arts and Hospitality Management Nutrition and Restaurant Techniques 1
12654876.pdf,CONSTRUCTION,"Gis, Construction, Engineering, Plan, Data center, Autocad, Compliance, Communication, Budgeting, Higher education, Procurement, Operations, Distribution, Envelopes, Consulting, Access, International, Technical, Electrical, Transportation, Regulatory, Budget management, Staffing, Acquisition, Safety, Budget, Analysis, Training, Strategy, Design, Repairs, Security",Electrical Engineering Technology
12826414.pdf,CONSTRUCTION,"Construction, Reports, Engineering, Process, Health, Plan, Regulations, Daily operations, Compliance, Communication, Schedule, Budgeting, Procurement, Operations, Specifications, Sales, Business development, Pattern, Negotiation, Filing, Administration, Contracts, Matrix, Regulatory, Installation, Improvement, Safety, Operations management, Customer requirements, Budget, Training, Legal, Modeling, Supervisor, Design, System, Project management","Master of Education (M.Ed.), Integrated Studies and Management - Cambridge College 1998"
17342969.pdf,CONSTRUCTION,"Teaching, Construction, Business management, Reports, Engineering, Process, Supply chain management, Plan, Assembly, Fabrication, Drafting, Communication, Schedule, Budgeting, Commissioning, Operations, Reporting, Sales, Lean, Testing, Partnership, Engagement, Inventory, Banking, Process improvements, Administration, Technical, Scheduling, Coaching, Continuous improvement, Electrical, Installation, Brand, Improvement, Schedules, Certification, Safety, Internal customers, Budget, Alliances, Analysis, Training, Strategy, Travel, Design, System, Purchasing, Project management",Bachelors of Science : Business Management
19364677.pdf,CONSTRUCTION,"Proposal, Construction, Documentation, Health, Process, Engineering, Regulations, Hospital, Pmp, Excel, Compliance, Schedule, Requests, Budgeting, Procurement, Reporting, Specifications, Healthcare, Negotiation, Administration, Scheduling, Contracts, Invoices, Regulatory, Improvement, Schedules, Client services, Certification, Strategic direction, Money, Budget, Design","Bachelor of Science : Design Science Arizona State University ï¼​ City , State"
27243670.pdf,CONSTRUCTION,"Construction, Reports, Marketing, Process, Health, Plan, Product quality, Regulations, Financial reporting, Excel, Compliance, Policies, Communication, Schedule, Investigate, Budgeting, Distribution, Operations, Reporting, Sales, Specifications, Correspondence, Testing, Negotiation, Inventory, Access, Microsoft office, Finance, Technical, Administration, Scheduling, Contracts, Invoices, Payments, Certification, Safety, Risk management, Budget, Analysis, Hotels, Research, Training, Billing, Supervisor, Design, System, Peoplesoft, Audit, Security","Bachelors of Science, Masters of Business Administration"
27246366.pdf,CONSTRUCTION,"Construction, Reports, Marketing, Process, Plan, Regulations, Mock, Programming, Green, Compliance, Schedule, Investigate, Budgeting, Requests, Protocols, Specifications, Supervising, Administration, Contracts, Installation, Schedules, Safety, Budget, Training, Design, System, Security",Bachelor of Science
33141415.pdf,CONSTRUCTION,"Construction, Process, Java, Php, Scripting, C, Visual, Programming, Excel, Website, Specifications, C#, Javascript, Mysql, Html, Css, Adobe, Word, Database, Xml, Repairs, Interactive, Networking, Analysis, Training, Algorithms, Design, Photoshop, Powerpoint","e-commerce, Bachelor of Science : IT - Web Multimedia and Animation Kaplan University ï¼​ City , State , USA, e-commerce site using a popular e-commerce platform"
39908485.pdf,CONSTRUCTION,"P, Construction, Microsoft excel, Reports, Engineering, Process, Documentation, Plan, Health, Counsel, Updates, Excel, Compliance, Communication, Controls, Schedule, Procurement, Operations, Specifications, Healthcare, Supervising, Negotiation, Retail, Orange, Access, Administration, Technical, Scheduling, Architecture, Troubleshooting, Electrical, Word, Vendors, Installation, Schedules, Acquisition, Safety, Budget, Networking, Fitness, Analysis, Training, Supervisor, Design, System, Payments, Project management, Pr, Security","Bachelor of Applied Arts And Science : Civil Engineering , 08/1980 
Faculty of Engineering Alexandria University"
93436805.pdf,CONSTRUCTION,"Audio, Construction, Editing, Reports, Process, Spreadsheets, Transactions, Economics, Presentations, C, Excel, Expenses, Travel arrangements, Communication, Writing, Operations, Correspondence, Broadcast, Filing, Tv, International, Administration, English, Presentation, Database, Word, Installation, Budget, Research, Training, Market research, Travel, Customer service, Powerpoint, Researching, Spanish","Master of Arts : Economics & Community Development, Bachelor of Arts"
11835339.pdf,CONSULTANT,"Construction, Marketing, Process, Documentation, Health, Plan, Beverage, Daily operations, Controls, Schedule, Purchase orders, Operations, Reporting, Startup, Sales, Customer service, Correspondence, Merchandising, Inventory, Tax, Lighting, Hospitality, Warehouse, International, Scheduling, Invoices, Vendors, Staffing, Hardware, Safety, Payroll, Budget, Research, Training, Travel, Hotel, Supervisor, Purchasing, Payments, Design, System","Degree : Hospitality Management City , State
Executive Experience
Company Name City , State 
Hotel, Restaurant & Marina PRESIDENT May 1979 to October 2010"
31217840.pdf,CONSULTANT,"Reports, Updates, Programming, Controls, Protocols, Agile, Data analysis, Underwriting, Inventory, Licensing, Risk assessment, International, Architecture, Regulatory, Installation, Mining, Analysis, Scrum, Design, Sap, Cisco, Regulations, Hospital, Compliance, Website, Reporting, Profiling, Lifecycle, Sharepoint, Warehouse, Analytical, Windows, Coding, Troubleshooting, Vendors, Certification, Process improvement, Budget, Training, System, Audit, Sdlc, Scripting, Gap analysis, Engineering, Business process, Plan, Sql, Policies, Communication, Distribution, Operations, Sales, Pharmaceutical, Testing, Database, Resource management, Forecasting, Crm, Documentation, Process, Health, Governance, Requests, Procurement, Specifications, Lean, Consulting, Engagement, Process improvements, Workflows, Workflow, Improvement, Jad, Safety, Itil, Project management",Bachelor of Science : Network and Communication Management
10748989.pdf,DESIGNER,"Construction, Engineering, Process, Documentation, Drafting, Hospital, Presentations, Visual, Autocad, Green, Requests, Indesign, Merchandising, Lighting, Analytical, Technical, Architecture, Adobe, Vendors, Electrical, Regulatory, Installation, Budget, Design, Project management",Bachelor of Fine Arts
13774329.pdf,DESIGNER,"Construction, Documentation, Engineering, Inventory management, Plan, Product development, Investigations, Assembly, Regulations, Prototype, Drafting, Content, Updates, Policies, Schedule, Investigate, Budgeting, Operations, Specifications, Chemicals, Quality control, Testing, Supervising, Inventory, Product design, Technical, Scheduling, Architecture, Contracts, Vendors, Improvement, Schedules, Safety, Budget, Forecasts, Training, Cement, Modeling, Supervisor, Design, Customer service","State Biological Science Zoology, Bachelor's degree : Environmental Design Environmental Design, Biological Science Zoology NDSU, Bachelor's degree"
14014749.pdf,DESIGNER,"Sports, Beverage, C, Cpr, Website, Schedule, Photography, Operations, Sales, Advertising, Retail, Windows, Adobe, Illustrator, Os, Safety, Servers, Training, Design, Photoshop","Bachelor of Arts : Graphic Design University of Nevada Las Vegas - City , State , USA"
16288901.pdf,DESIGNER,"Photography, Requests, International, Technical, Protocols, Indesign, Specifications, English, Analyze, Adobe, Fabrication, Drafting, Design, Content, Photoshop, Autocad, Communication",Bachelor of Arts : Interior Design Lebanese International University ï¼​ City Lebanon
17555081.pdf,DESIGNER,"Proposal, Teaching, Reports, Administrative support, Fundraising, Process, Marketing, Transactions, Health, Event planning, Presentations, Partnerships, Excel, Compliance, Communication, Writing, Requests, Operations, Reporting, Testing, Marrow, Retention, Data analysis, Inventory, International, Finance, Data collection, Contracts, Presentation, Instructional design, Budget management, Payroll, Budget, Analysis, Research, Public relations, Training, Design, Purchasing, Project management, Recruitment","Bachelor of Science, Masters of Education"
22567495.pdf,DESIGNER,"Audio, Teaching, Sports, Reports, Process, Plan, Expenses, Website, Operations, Sales, Tax, Accounting, Technical, Invoices, Database, Contracts, Instructional design, Invoicing, Schedules, Hardware, Safety, Outreach, Payroll, Research, Training, Billing, Travel, Design, System, Payments, Security",Master of Education
24455357.pdf,DESIGNER,"Construction, Reports, Engineering, Process, Mathematics, Plan, Product development, Fabrication, Excel, Communication, Raw materials, Writing, Distribution, Operations, Specifications, Technical issues, Ibm, Quality control, Pattern, Physics, Technical, English, Database, Word, Brand, Chemistry, Merchant, Supervisor, Design, Spanish",Chemical Engineering
25061645.pdf,DESIGNER,"Visual, Real estate, Html, Branding, Marketing, English, Indesign, Transactions, Marketing materials, Adobe, Css, Microsoft office suite, Advertising, Design, Illustrator, Photoshop, Powerpoint, Adobe creative suite",Bachelor of Arts
26676567.pdf,DESIGNER,"Editing, Marketing, Regulations, Drafting, Presentations, Content, Visual, Website, Communication, Photography, Purchase orders, Indesign, Publishing, Advertising, Linux, Sourcing, Html, Administration, Windows, Invoices, Adobe, Css, Presentation, Brand, Illustrator, Cad, Time management, Social media, Editorial, Graphic design, Design, Photoshop, Recruitment",B.A
26924514.pdf,DESIGNER,"Construction, Reports, Process, Plan, Beverage, Excel, Compliance, Program development, Communication, Writing, Budgeting, Operations, Sales, Analyze, Sourcing, Analytical, Administration, Finance, English, Technical, International, Windows, Standard operating procedures, Presentation, Adobe, Word, Instructional design, Brand, Acquisition, Certification, Video, Analysis, Training, Design, System","Masters of Instructional, Bachelor of Science"
27529455.pdf,DESIGNER,"Math, Reports, Documentation, Process, Plan, Excel, Compliance, Policies, Website, Writing, Distribution, Operations, Indesign, Sales, Supply chain, Publishing, Retention, Access, Warehouse, International, Technical, Administration, Standard operating procedures, Project plan, Coaching, Adobe, Word, Instructional design, Improvement, Analysis, Data entry, Training, Design, System, Photoshop, Customer service, Project management, Powerpoint","State of TN Teacher License 474: Business Education 
Software Expertise: Adobe Acrobat Prof. 9, Adobe Captivate 5, 5.5, 7, 8, Adobe Contribute 4, Adobe Dreamweaver,"
29865476.pdf,DESIGNER,"Reports, Excel, Expenses, Sales goals, Requests, Budgeting, Sales, Healthcare, Merchandising, Metrics, Inventory, Word, Email, Budget, Data entry, Training, Pharmacy, System, Purchasing, Payments, Customer service, Spanish",Bachelor of Science
37263609.pdf,DESIGNER,"Proposal, Construction, Reports, Documentation, Process, Engineering, Presentations, Visual, Autocad, Writing, Analyze, Lighting, English, Architecture, Presentation, Adobe, Research, Market research, Design, Quality standards, Pr, Spanish",Master of Science
38565119.pdf,DESIGNER,"Real estate, Construction, Documentation, Process, Plan, Salesforce, Presentations, Programming, Autocad, Communication, Procurement, Sales, Specifications, Retail, Installation, Improvement, Analysis, Strategy, Design, Change management","Bachelor of Arts : Interior Design IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY - City , State"
38744475.pdf,DESIGNER,"Retail, Interactive, Video, Marketing, English, Sales, Research, Social media, Adobe, Brand, Design, Content, Visual, Autocad, Communication, Spanish",Bachelor of Fine Arts
44145704.pdf,DESIGNER,"Presentations, Content, French, Excel, Compliance, Communication, Writing, Sharepoint, Microsoft office, English, Html5, Adobe, Word, Video, Networking, Analysis, Training, Design, Powerpoint","Bachelors of Arts : English/French May 1997 Claflin University City , State , United States of America, Masters of Education"
44185767.pdf,DESIGNER,"Sap, Reports, Documentation, Process, Business strategy, Information management, It infrastructure, C, Governance, Communication, Investigate, Operations, Sales, Agile, Specifications, Recruiting, Analyze, Lifecycle, Testing, Consulting, Visio, Technical, Administration, Architecture, Troubleshooting, Saas, Regulatory, Installation, Os, Staffing, Hardware, Business analysis, Budget, Networking, Analysis, Itil, Erp, Servers, Training, Legal, Strategy, Design, System, Repairs, Project management, Sdlc, Security","Bachelor of Science : Industrial Technology & Education Montclair State University City , State
Coursework in Information Management and Business Administation"
54201930.pdf,DESIGNER,"Audio, Editing, Marketing, Process, Event planning, Presentations, Content, Visual, Marketing materials, Website, Writing, Trade shows, Indesign, Sales, Advertising, Consulting, Marketing strategy, Branding, English, Vendors, Brand, Illustrator, Email, Social media, Editorial, Public relations, Graphic design, Strategy, Design, Photoshop, Pr, Marketing plans, Spanish",Bachelor of Arts
10005171.pdf,DIGITAL-MEDIA,"Marketing, Process, Content, Website, Schedule, Advertising, Newspaper, Tv, Branding, International, Video, Budget, Analysis, Research, Public relations, Market research, Strategy, Travel, Supervisor, Spanish, Recruitment, Security","Bachelor of Arts : Human Services University of Tennessee ï¼​ City , State, Master of Arts"
10515955.pdf,DIGITAL-MEDIA,"Psychology, Proposal, Reports, Marketing, Analysis, Sales, Training, Analyze, Contracts, Legal, Billing, Advertising, Supervisor, Customer service, Negotiation, Recruitment, Newspaper, Communication","Bachelors of Science , Psychology, Master of Science , Counseling and Clinical Psychology Troy University ï¼​ City , State"
12085736.pdf,DIGITAL-MEDIA,"Proposal, Reports, Marketing, Documentation, Plan, Presentations, Sql, Website, Requests, Operations, Reporting, Sales, Specifications, Testing, Advertising, Javascript, Metrics, Ux, Contract management, Negotiation, Ui, Inventory, Html, Technical, Workflow, Html5, Fulfillment, Saas, Css, Brand, Social media, Kpi, Video, Mobile, Analysis, Servers, Training, Strategy, Design, Forecasting, Digital media",Bachelors of Science
16276121.pdf,DIGITAL-MEDIA,"Crm, Marketing, Health, Analytics, Operations, Sales, Facebook, Healthcare, Advertising, Retention, Analytical, Scheduling, E-commerce, Brand, Acquisition, Strong analytical skills, Analysis, Revenue growth, Twitter, Audit",e-commerce
16509761.pdf,DIGITAL-MEDIA,"Construction, Marketing, Content, Writing, Operations, Sales, Financial statements, Advertising, Accounting, International, Finance, Administration, English, Adobe, Social media, Video, Training, Photoshop, Spanish","Bachelor of Science : Digital Media Communications Florida International University ï¼​ City , State GPA"
16893572.pdf,DIGITAL-MEDIA,"Microsoft excel, Reports, Wordpress, Marketing, Analytics, Php, Cloud, Content, Excel, Updates, Partnerships, Programming, Website, Schedule, Photography, Budgeting, Writing, Operations, Reporting, Sales, Business development, Media relations, Facebook, Ibm, Microsoft office suite, Retention, Javascript, Marketing strategy, Seo, Adobe creative suite, Html, Analytical, International, Datasets, Contracts, Adobe, Css, E-commerce, Brand, Responses, Email, Human resources, Social media, Outreach, Budget, Automation, Hotels, Graphic design, Strategy, Hotel, Design, Project management, Photoshop, Twitter, Mysql, Digital marketing",Bachelor of Arts : Graphic and Web Design
18927233.pdf,DIGITAL-MEDIA,"Reports, Wordpress, Marketing, Analytics, Content, Sales experience, Sales, Journalism, Media relations, Seo, English, Adobe, Brand, Payments, Budget, Networking, Analysis, Public relations, Training, Photoshop, Customer service",Bachelor of Arts : Communications Cinema Arts. Communications
